dbn,tract,tract_lookup,tract_guess,boro
05M367,021900,021900,021900,Manhattan
17K531,081000,081000,081000,Brooklyn
11X542,032400,032400,032400,Bronx
03M403,016900,016900,016900,Manhattan
09X517,014701,014701,014701,Bronx
04M409,019400,019400,019400,Manhattan
31R450,000700,000700,000700,Staten Island
09X505,018302,018302,018302,Bronx
24Q296,046300,046300,046300,Queens
17K547,021300,021300,021300,Brooklyn
02M411,005600,005600,005600,Manhattan
31R445,021300,021300,021300,Staten Island
09X525,016500,016500,016500,Bronx
10X524,039300,039300,039300,Bronx
02M047,006400,006400,006400,Manhattan
11X275,037200,037200,037200,Bronx
04M435,017800,017800,017800,Manhattan
24Q267,017900,017900,017900,Queens
19K510,115600,115600,115600,Brooklyn
12X478,005600,005600,005600,Bronx
09X413,022500,022500,022500,Bronx
22K611,062600,062600,062600,Brooklyn
17K745,081000,081000,081000,Brooklyn
26Q435,130100,,130100,Queens
27Q324,094201,094201,094201,Queens
30Q502,001900,001900,001900,Queens
28Q505,044800,044800,044800,Queens
17K751,031100,031100,031100,Brooklyn
32K554,043300,043300,043300,Brooklyn
07X551,005100,005100,005100,Bronx
01M509,003001,003001,003001,Manhattan
30Q501,005700,005700,005700,Queens
14K071,052900,052900,052900,Brooklyn
07X473,007100,007100,007100,Bronx
21K690,028800,028800,028800,Brooklyn
30Q445,016300,016300,016300,Queens
11X418,022800,022800,022800,Bronx
07X259,003500,003100,003500,Bronx
08X320,019400,019400,019400,Bronx
28Q328,045200,045200,045200,Queens
12X242,005600,005600,005600,Bronx
21K337,030600,030600,030600,Brooklyn
10X342,040900,040900,040900,Bronx
10X243,038700,038700,038700,Bronx
18K563,093600,093600,093600,Brooklyn
27Q309,100802,100802,100802,Queens
06M462,027700,027700,027700,Manhattan
28Q620,045200,045200,045200,Queens
17K539,079400,079400,079400,Brooklyn
18K567,095000,095000,095000,Brooklyn
08X349,019400,019400,019400,Bronx
02M408,012700,012700,012700,Manhattan
24Q455,046100,046100,046100,Queens
15K423,004300,004300,004300,Brooklyn
13K670,019100,019100,019100,Brooklyn
07X221,004300,004300,004300,Bronx
08X312,001600,001600,001600,Bronx
10X264,039300,039300,039300,Bronx
02M438,005000,005000,005000,Manhattan
19K683,111800,111800,111800,Brooklyn
10X565,039300,039300,039300,Bronx
15K667,008400,008400,008400,Brooklyn
21K572,030600,030600,030600,Brooklyn
06M346,024100,024100,024100,Manhattan
02M413,006800,006800,006800,Manhattan
13K439,001500,,001500,Brooklyn
11X290,037200,037200,037200,Bronx
09X564,022500,022500,022500,Bronx
30Q286,006900,006900,006900,Queens
09X327,020900,020900,020900,Bronx
02M260,010300,010300,010300,Manhattan
22K405,077200,077200,077200,Brooklyn
17K543,079400,079400,079400,Brooklyn
07X600,006700,006700,006700,Bronx
05M692,021703,021703,021703,Manhattan
02M580,000900,000900,000900,Manhattan
12X479,013100,013100,013100,Bronx
10X546,030900,030900,030900,Bronx
14K474,048500,048500,048500,Brooklyn
16K455,027100,027100,027100,Brooklyn
10X433,040900,040900,040900,Bronx
21K525,076800,076800,076800,Brooklyn
03M402,016900,016900,016900,Manhattan
01M539,002201,002201,002201,Manhattan
08X332,008700,008700,008700,Bronx
20K445,018200,018200,018200,Brooklyn
30Q580,005500,005500,005500,Queens
25Q425,080900,080900,080900,Queens
10X439,038700,038700,038700,Bronx
02M422,008900,008900,008900,Manhattan
24Q264,017900,017900,017900,Queens
18K569,093600,093600,093600,Brooklyn
25Q252,125700,125700,125700,Queens
09X263,016700,016700,016700,Bronx
24Q293,046300,046300,046300,Queens
02M655,015601,015601,015601,Manhattan
02M520,002900,002900,002900,Manhattan
22K555,050400,050400,050400,Brooklyn
23K514,092400,092400,092400,Brooklyn
02M546,005000,005000,005000,Manhattan
17K548,021300,021300,021300,Brooklyn
28Q167,064500,,064500,Queens
14K322,025700,025700,025700,Brooklyn
12X684,022000,022000,022000,Bronx
30Q555,003300,003300,003300,Queens
08X293,019400,019400,019400,Bronx
04M495,017000,017000,017000,Manhattan
12X388,005600,005600,005600,Bronx
15K448,006300,006300,006300,Brooklyn
03M299,015100,015100,015100,Manhattan
24Q560,019900,019900,019900,Queens
16K688,029100,029100,029100,Brooklyn
02M303,013500,013500,013500,Manhattan
02M533,005000,005000,005000,Manhattan
02M294,001800,001800,001800,Manhattan
27Q480,086400,009400,086400,Queens
24Q610,017900,,017900,Queens
18K566,095000,095000,095000,Brooklyn
15K684,015500,015500,015500,Brooklyn
